Locus	Num Clones	Num A-mutants	Num C-mutants	Fraction A-mutants	Fraction C-mutants	Mean community fitness	Mean alone fitness	Num clones in yield and growth measurements	BLT_Alone_Rank	BLT_Community_Rank
chrIV-1n	64	19	45	0.0883720930232558	0.248618784530387	2.17191286074682	1.91563808285435	3	0.892629938643779	0.926465778420437
chrIII-3n	52	46	6	0.213953488372093	0.0331491712707182	1.68859355194563	1.85504062703237	9	0.776512216681035	0.640399313555686
chrXIV-3n	18	0	18	0	0.0994475138121547	2.05398040347458	1.5934875253912	2	0.468722907898677	0.887198084264806
chrIV-3n	10	7	3	0.0325581395348837	0.0165745856353591	2.30479857790103	2.17743708233	5	0.9809902113775	0.942732217861323
chrXIII-3n	9	2	7	0.00930232558139535	0.0386740331491713	1.57493453562939	1.3154591960449	3	0.21073911193077	0.476164245220225
chrIX-3n	9	2	7	0.00930232558139535	0.0386740331491713	1.49193947062734	1.52704672774018	0	0.356023707066408	0.371571530216438
YIL169C	7	4	3	0.0186046511627907	0.0165745856353591	1.74409808660374	1.70808050675319	1	0.654135338345865	0.59469216316975
HEM1	5	1	4	0.00465116279069767	0.0220994475138122	2.33587813679037	1.95501639722299	1	0.908270676691729	0.957433037251257
HEM2	5	1	4	0.00465116279069767	0.0220994475138122	2.23738745985117	1.87449693928356	3	0.849283586324301	0.938139502857536
NUM1	5	3	2	0.013953488372093	0.0110497237569061	1.79307899570909	1.77613269336674	1	0.632841537806781	0.719741100323625
PAN2	4	1	3	0.00465116279069767	0.0165745856353591	1.74800136548827	1.72992493613502	0	0.610831323591999	0.70861736555808
ETP1	4	3	1	0.013953488372093	0.00552486187845304	1.73853906620484	1.73037053930573	0	0.677170520641226	0.758417682297046
HEM3	4	1	3	0.00465116279069767	0.0165745856353591	1.92238981026693	1.64404278424089	3	0.491452688324585	0.782775597328376
MAE1	4	3	1	0.013953488372093	0.00552486187845304	1.69030011795486	1.75855070326536	1	0.71078639996217	0.723702632605752
YMR317W	4	3	1	0.013953488372093	0.00552486187845304	1.75329769284955	1.7369758411898	1	0.560168108951624	0.587206500034428
BRR2	3	0	3	0	0.0165745856353591	1.66374127898554	1.459763210929	1	0.309027285194117	0.589891895613854
BUL1	3	1	2	0.00465116279069767	0.0110497237569061	2.15155631032325	2.05143664332084	3	0.953350357024637	0.912552502926393
DNF1	3	1	2	0.00465116279069767	0.0110497237569061	1.67619412953179	1.67828020176403	1	0.607603915449	0.572815533980582
HSC82	3	0	3	0	0.0165745856353591	2.06921020167602	1.59357527949692	0	0.502080673381567	0.888200325919805
IQG1	3	1	2	0.00465116279069767	0.0110497237569061	1.70939974406666	1.65278651267473	0	0.534212890717359	0.569074341848562
IRA2	3	1	2	0.00465116279069767	0.0110497237569061	1.70472361100445	1.59933689474937	1	0.492835863243013	0.503362482499024
KIN82	3	1	2	0.00465116279069767	0.0110497237569061	2.02213947067884	1.87032365117341	1	0.830779779637774	0.777663017282931
NSP1	3	0	3	0	0.0165745856353591	2.1942891198908	1.61691296373918	0	0.586572563484182	0.932624113475177
PMT3	3	1	2	0.00465116279069767	0.0110497237569061	1.71152220498251	1.60571242588055	0	0.483756561214357	0.663338612316096
POL2	3	1	2	0.00465116279069767	0.0110497237569061	1.64626868867877	1.54053108163721	0	0.475859459970681	0.561936239069063
POL5	3	1	2	0.00465116279069767	0.0110497237569061	1.55737196655137	1.43403250244465	1	0.21137750035466	0.527553994812826
SEC16	3	1	2	0.00465116279069767	0.0110497237569061	1.99224569275543	1.84711472053897	0	0.804653142289687	0.808992632376231
SKN1	3	0	3	0	0.0165745856353591	1.96953237850644	1.75470543690966	1	0.601574691445595	0.731139112671854
SPT6	3	0	3	0	0.0165745856353591	1.53140373475742	1.5199396297367	0	0.366340379250012	0.527439234317978
TOR2	3	1	2	0.00465116279069767	0.0110497237569061	1.75894673854909	1.5658279904348	1	0.402563011301839	0.670568523491473
UME6	3	1	2	0.00465116279069767	0.0110497237569061	1.88621981303844	1.73923502132748	0	0.702132690216106	0.819573550001148
