key	CloneClass	cloneIsAloneAdaptive	cloneIsCommunityAdaptive	isUniqueAdaptive	BLT_isAdaptive	Sequencing_Library_Prefix	Phenotyping_Clone_ID	BCID	CloneSource	Plate	Row	Column	Rearrayed_Plate_Index	Rearrayed_Plate_Number	Rearrayed_Row	Rearrayed_Col	BLT_fitness	BLT_variance	BLT_numValues	BLT_logCV	populationType	Alone_fitness	Alone_variance	Alone_stderr	Community_fitness	Community_variance	Community_stderr	YYA_1	YYA_2	YYA_Avg	YYA_Var	YYA_1_rescaled	YYA_2_rescaled	YYA_Avg_rescaled	YYA_Stderr_rescaled	AYC_rep1	AYC_rep2	AYC_avg	AYC_var	AYC_stderr	AYC_rep1_rescaled	AYC_rep2_rescaled	AYC_avg_rescaled	AYC_stderr_rescaled	YYC_rep1	YYC_rep2	YYC_avg	YYC_var	YYC_stderr	YYC_rep1_rescaled	YYC_rep2_rescaled	YYC_avg_rescaled	YYC_stderr_rescaled	r_1	r_2	r_Avg	r_Var	r_1_rescaled	r_2_rescaled	r_Avg_rescaled	r_Stderr_rescaled	K_1	K_2	K_Avg	K_Var	K_1_rescaled	K_2_rescaled	K_Avg_rescaled	K_Stderr_rescaled	sampledFreq	BLT_Mono_fit_interpolated	BLT_Co_fit_interpolated	BLT_Co_fit_rank	BLT_Mono_fit_rank	adaptiveLocus	mutationWeightAll	mutationWeightClass	significantYeastEffect	significantAlgaEffect	significantREffect	significantKEffect	numCNVMuts	numSmallMuts
A1_107747	A-mutant	TRUE	TRUE	FALSE	TRUE	sample_312	NA	107747	Alone	A1	A	3	YPlate	1	B	1	0.891061735425172	0.000122100122100122	5	-1.9065497451816	Alone	1.18716651931101	0.0186509449946343	0.0788478386823512	0.688782880653864	0.0165040496517724	0.0741710852281678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00229896924713177	0.875461592626163	0.854582792975443	0.827996970322936	0.880621364732586	chrIII-3n	0	0	NA	NA	NA	NA	1	8
A1_122276	A-mutant	TRUE	TRUE	TRUE	TRUE	YLT-02_221	NA	122276	Alone	A1	G	1	YPlate	1	E	5	1.07821883313675	0.000254777070063694	5	-1.82962674387626	Alone	1.58137764519963	0.0365202769719274	0.110333248195225	0.917881006074538	0.0379018191714332	0.112400799480302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0013527924237967	1.15699864106742	1.14417835571094	0.92308751635337	0.983401900978862	Other	0	0	NA	NA	NA	NA	0	0
A1_128003	A-mutant	TRUE	TRUE	FALSE	TRUE	sample_334	NA	128003	Alone	A1	G	11	YPlate	1	C	6	0.652117562142369	0.000161186331399097	5	-1.71066179089666	Alone	0.876910941619025	0.233739258843943	0.279129156988865	0.452394048422759	0.131819253812367	0.209618108165275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00121065375302663	0.653883778430945	0.5557712825423	0.564690490945397	0.566392396084551	SEC16	0	0	NA	NA	NA	NA	0	7
A1_135994	A-mutant	TRUE	TRUE	TRUE	TRUE	YLT-02_211	NA	135994	Alone	A1	C	1	YPlate	1	E	2	1.03811377149682	0.000480076812289966	5	-1.67558958735492	Alone	1.55165381589569	0.0314511472509266	0.102390017825513	0.812995409530763	0.0487996312716782	0.12754036128703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000609569821909439	1.13577052592547	1.01159585073335	0.877229222612408	0.981203007518797	Other	0	0	NA	NA	NA	NA	0	1
A1_14603	A-mutant	TRUE	TRUE	FALSE	TRUE	sample_329	NA	14603	Alone	A1	F	6	YPlate	1	G	4	0.661658154492513	0.000381825124093165	5	-1.52970141846759	Alone	0.736366887540015	0.196911958212136	0.256197813035251	0.572713146260284	0.0944227248234267	0.177409812602936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000432780430404381	0.553510258855164	0.707862779502845	0.745300557736005	0.399773017449284	CRP1	0	0	NA	NA	NA	NA	0	10
A1_147116	A-mutant	TRUE	TRUE	FALSE	TRUE	YLT-02_207	NA	147116	Alone	A1	A	9	YPlate	1	G	1	0.743204978241998	0.00027882336539802	5	-1.64844402763454	Alone	0.960714851831943	0.0633170064884161	0.145277902068663	0.488725974450054	0.0430101491035322	0.11973602786064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000739686814057161	0.713734716113122	0.60169730024244	0.626454589272189	0.666761242729465	Other	0	0	NA	NA	NA	NA	0	2
A1_151416	A-mutant	TRUE	TRUE	FALSE	TRUE	YLT-02_32	NA	151416	Alone	A1	E	8	NeutralPlate	1	H	1	0.392848461540395	0.00323624595469256	5	-0.83920429642758	Alone	0.594430444708181	0.00977573165600561	0.0570839488706636	0.276467666260888	0.00489718710095451	0.0404029169778392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.44511325835577e-05	0.45214232538792	0.333388408179465	0.189079391310335	0.235919988650872	Other	0	0	NA	NA	NA	NA	0	0
A1_152422	A-mutant	TRUE	TRUE	FALSE	TRUE	sample_326	NA	152422	Alone	A1	E	9	YPlate	1	A	4	0.652367332639465	0.000366166239472721	5	-1.53265305564223	Alone	1.03075502798758	0.24670253670623	0.286765023847185	0.677681795090968	0.191121270357248	0.252402634928962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00055158290149578	0.763755893021089	0.840550268201796	0.822213041382634	0.744077174067244	Other	0	0	NA	NA	NA	NA	0	5
A1_152936	A-mutant	TRUE	TRUE	FALSE	TRUE	YLT-02_209	50	152936	Alone	A1	B	7	YPlate	1	B	2	1.08833436710651	0.000143492610130578	5	-1.95834757567368	Alone	1.34872483706241	0.00944014565175502	0.0560955899982492	0.709330911189878	0.0111557296879725	0.0609801325241057	3904000	2192000	1560000	7.2e+09	0.737891737891738	0.290018832391714	-0.245647969052224	0.0999049643466112	725863	960791	843327	27595582592	117464	0.615153713329536	1.13790364212475	0.876528677727143	0.338957825216395	4800000	3500000	4150000	8.45e+11	650000	0.846153846153846	0.346153846153846	0.596153846153846	0.497163028410237	0.170451424053636	0.182148814442166	0.176300119247901	6.84144709508395e-05	0.0419575331168061	0.0528228483413109	0.0475422650358244	0.0398853691814752	6725000	6225000	6475000	1.25e+11	0.298262548262548	0.0559796437659033	0.169300225733634	0.0597721044536101	0.00204085673553438	0.990843044198168	0.880556896671214	0.835502306685946	0.947013760817137	chrIII-3n	5.77777777777778	1.17857142857143	FALSE	TRUE	FALSE	TRUE	1	3
A1_156660	A-mutant	TRUE	TRUE	TRUE	TRUE	YLT-02_214	46	156660	Alone	A1	D	2	YPlate	1	A	3	0.684430948632849	0.000732332478945441	4	-1.40297549150054	Alone	0.769105724701498	0.299038789440415	0.315720757125879	0.449905963030233	0.14034945578457	0.216294132902837	1024000	1824000	1790000	9.8e+09	-0.544159544159544	0.0734463276836159	-0.134429400386847	0.114797819800455	350365	245230	297797.5	5526684112.5	52567.5	-0.220385484904586	-0.454326580746226	-0.337356032825406	0.139606086663626	2800000	2000000	2400000	3.2e+11	4e+05	0.0769230769230769	-0.230769230769231	-0.0769230769230769	0.292286131011325	0.188407544736133	0.198536165614539	0.193471855175336	5.12944804492353e-05	0.151722032384321	0.147541981105934	0.149573501456761	0.0369716669825981	5750000	5350000	5550000	8e+10	0.11003861003861	-0.09245122985581	0.00225733634311509	0.04931365417533	0.000287105971804214	0.57689162731113	0.552626173921008	0.561178819803071	0.43921123563626	Other	1	0.25	FALSE	TRUE	TRUE	FALSE	0	3
A1_164428	A-mutant	TRUE	TRUE	FALSE	TRUE	sample_322	NA	164428	Alone	A1	D	9	YPlate	1	E	3	0.720144382332765	0.000316055625790139	5	-1.60753781462763	Alone	0.846496679911326	0.149450013784693	0.22319648577333	0.504177284697689	0.0778190985294772	0.161058062542133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000610984137041479	0.632162571419339	0.621228803950506	0.650485436893204	0.528798411122145	Other	0	0	NA	NA	NA	NA	0	8
